"","Alignment.ID","RT","HY_1_P1.C.1_01_14367","HY_2_P1.C.2_01_14368","HY_3_P1.C.3_01_14369","HY_4_P1.C.4_01_14370","HY_5_P1.C.5_01_14371","MB_P1.B.2_01_14366","QC_0.6_1_P1.B.1_01_14391","QC_0.6_2_P1.B.1_01_14392","QC_0.6_3_P1.B.1_01_14393","QC_1.2_1_P1.B.1_01_14394","QC_1.2_2_P1.B.1_01_14395","QC_1.2_3_P1.B.1_01_14396","QC_2.4_1_P1.B.1_01_14397","QC_2.4_2_P1.B.1_01_14398","QC_2.4_3_P1.B.1_01_14399","QC_3.6_1_P1.B.1_01_14400","QC_3.6_2_P1.B.1_01_14401","QC_3.6_3_P1.B.1_01_14402","QC_4.8_1_P1.B.1_01_14403","QC_4.8_2_P1.B.1_01_14404","QC_4.8_3_P1.B.1_01_14405","QC_6_1_P1.B.1_01_14406","QC_6_2_P1.B.1_01_14407","QC_6_3_P1.B.1_01_14408","QC_7.2_1_P1.B.1_01_14409","QC_7.2_2_P1.B.1_01_14410","QC_7.2_3_P1.B.1_01_14411","QC_8.4_1_P1.B.1_01_14412","QC_8.4_2_P1.B.1_01_14413","QC_8.4_3_P1.B.1_01_14414","QC_9.6_1_P1.B.1_01_14415","QC_Mid_1_P1.B.1_01_14365","QC_Mid_2_P1.B.1_01_14377","QC_Mid_3_P1.B.1_01_14388","SW_1_P1.D.2_01_14378","SW_2_P1.D.3_01_14379","SW_3_P1.D.4_01_14380","SW_4_P1.D.5_01_14381","SW_5_P1.D.6_01_14382","SX_1_P1.C.6_01_14372","SX_2_P1.C.7_01_14373","SX_3_P1.C.8_01_14374","SX_4_P1.C.9_01_14375","SX_5_P1.D.1_01_14376","YC_1_P1.D.7_01_14383","YC_2_P1.D.8_01_14384","YC_3_P1.D.9_01_14385","YC_4_P1.E.1_01_14386","YC_5_P1.E.2_01_14387","Quality","model","SQC_points"
"1",NA,"RT","HY","HY","HY","HY","HY","Blank","SQC_0.6","SQC_0.6","SQC_0.6","SQC_1.2","SQC_1.2","SQC_1.2","SQC_2.4","SQC_2.4","SQC_2.4","SQC_3.6","SQC_3.6","SQC_3.6","SQC_4.8","SQC_4.8","SQC_4.8","SQC_6","SQC_6","SQC_6","SQC_7.2","SQC_7.2","SQC_7.2","SQC_8.4","SQC_8.4","SQC_8.4","SQC_9.6","QC","QC","QC","SW","SW","SW","SW","SW","SX","SX","SX","SX","SX","YC","YC","YC","YC","YC","FeatureQuality","Model","SQC_points"
"2",0,"10.435","105912.781200732","576708.201327813","89201.0284028186","302838.400447456","326324.88295528","70613","145042","120732","119852","50767","118558","177556","122911","176011","195789","482138","195860","303143","379448","328534","245105","536267","276758","472559","403927","88260","216814","439573","376952","130533","514957","191204","266497","475959","442804.621108561","445588.41052426","568542.348192408","159354.835431091","288816.711928673","120091.728908342","367122.142038377","179689.833419889","162575.449811623","269693.632619332","532545.149916457","771163.34031915","218090.556598124","314899.9481276","142230","low",NA,NA
"3",1,"11.928","58837.224433386","67621.3379586103","45186.9972609013","52748.5262340667","72678.3553043661","455","906","2961","554","622","420","1237","2500","4578","2944","650","1191","5501","26202","2356","3166","3189","1505","1957","36351","6390","13568","6019","34892","37811","4228","3114","3876","18780","9530.71773645773","47509.233659289","5071.52763088643","7651.79105634083","10182.0570984608","59965.9495025623","39765.736511655","9946.11256659845","5393.36173668696","71736.0012721594","2622.97725031203","9702.09683418617","47781.9056565885","1197.17563442944","35577","low",NA,NA
"4",2,"8.755","73942.1445636015","59738.5881992025","54672.665706183","43221.4366237632","51414.1960346057","159","1751","2426","1573","4100","3747","3526","7158","7648","9101","11357","13576","12767","16155","14309","16719","18091","21519","20517","23671","20053","25295","28933","25655","29779","31690","20436","20261","20755","37459.9871373019","37039.8952177974","41569.9410971125","36561.5509276567","63227.6405841989","27490.743353434","26475.8996058925","37223.9782120328","42766.8005980912","72348.0194373245","15744.483838193","17005.1104940759","21817.4995870392","26170.9108927823","18408","high","Uncali.","9"
"5",3,"11.667","58837.224433386","67621.3379586103","45186.9972609013","52748.5262340667","9597.00053844046","1395","8410","9735","11464","14186","12068","8153","19307","16329","17188","16974","25337","14976","26202","27307","26721","27536","28600","27659","36351","34024","15419","21302","34892","37811","23968","23682","28627","17395","53979.1926849543","47509.233659289","44726.3645280883","51581.334217122","80100.8413949087","59965.9495025623","39765.736511655","48927.2431659029","49433.7450828869","71736.0012721594","31969.6040932782","56936.3604186434","47781.9056565885","58747.1186323587","35577","low",NA,NA
"6",4,"21.371","2.46305289200427","10.8732260391611","3.18386381987711","11.2386894038345","4.55510496953013","1829","409794","393835","398060","557165","588185","537469","775976","745656","533734","921140","903698","924848","983041","691232","970017","1048504","988185","1061197","1130987","1002240","1097812","1110122","1060315","1141242","1134359","4.52578340717533","4.82712718234054","6.74626607558025","13.117681675838","1.2512970857553","13.8676603933206","15.5579164070673","19.7156739058954","4.25725605330479","7.22081264332496","7.52334669651574","11.5387472924446","13.6564514068048","7.18166979402614","11.3523014704642","3.92023537263044","16.3502151213263","2.79868012843969","high","Cubic","9"
"7",5,"20.698","13.3759177825679","18.7773052898147","13.9345053450842","15.3058081531722","21.2602854167249","6435","35932","27056","33865","45285","46479","43874","79277","85897","78717","109887","120947","122049","158136","148974","155793","190613","193633","179678","221213","217788","200323","240695","229381","232711","274474","6.50807268604277","6.09092437527583","6.26872410870383","3.30717822948242","3.44393157876163","3.27719310185538","3.6730110664245","3.96793038235427","18.4658176432134","11.4708332473772","10.1417878210942","8.35496945191543","4.28280570477649","8.59959061616326","5.23432467729309","6.25360517147678","6.60767413236934","4.46919548762155","high","Quadratic","9"
"8",6,"2.676","6.92259876037752","10.1084677030456","10.8441259491231","7.92735765288089","5.34320838712732","85795","53309","25192","28126","77106","91666","77192","136925","148501","181238","172835","217099","171701","253895","333447","277206","296087","334588","331999","441759","215452","313548","336677","320255","435192","331752","5.78758381512764","8.02472391043167","6.91587030273968","14.0945245970666","14.5645383732102","14.6563714612694","16.5620544539092","18.6112566898675","4.93869514866924","7.39332256887716","4.35493572961098","10.430906216791","10.5006146596027","27.8191203063643","13.4168542517269","10.881411162488","11.8438018214783","7.06257169681816","high","Linear","9"
"9",7,"11.032","399452.105839844","525670.402685506","344874.545103189","428915.17349558","412552.502645714","135272","147772","101718","116589","130748","132229","159905","145915","156486","160636","159485","174577","280107","175118","167877","179473","159320","310856","174793","235902","296416","199244","295238","211491","194933","274513","307522","317631","181312","455069.734555201","305562.191043931","386358.667058557","304701.14540481","662996.443640654","455483.629887079","265609.40545833","384345.581983633","521109.709389538","630019.327360297","560043.378858648","488542.176161827","185521.12300892","490137.5496237","261865","low",NA,NA
"10",8,"10.592","12.0813611257216","0.407534179585031","0.42239103869631","0.627828826051645","0.22338705149857","9963","32492","62272","42541","103692","35754","77544","123328","102248","126015","128249","133489","119922","123231","126125","121592","124135","137891","123536","133642","143810","141487","130957","154485","168465","182445","9.30817713964581","3.82776248296782","7.58016694726393","1.05404122906136","0.222127958700212","0.515795730452228","0.173024978364685","0.124189036358349","17.0199523892162","12.4748275440891","0.0838899127167595","1.06138383960234","1.11525231464563","17.3385119858672","17.2344750893071","1.93825097661828","0.792270791024946","1.23240618397996","high","Cubic","9"
